Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Hearing Disability,Age-adjusted Prevalence,5.9,,,5.8,6.1,16566140,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Hearing Disability,Age-adjusted Prevalence,5.6,,,5.5,5.7,15286864,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Hearing Disability,Age-adjusted Prevalence,5.3,,,5.2,5.4,14278355,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Mobility Disability,Age-adjusted Prevalence,11.1,,,10.9,11.3,30741884,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Mobility Disability,Age-adjusted Prevalence,12.8,,,12.6,13,34162937,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Mobility Disability,Age-adjusted Prevalence,12.4,,,12.2,12.6,34130098,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Mobility Disability,Age-adjusted Prevalence,12.9,,,12.7,13.1,34639330,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Mobility Disability,Age-adjusted Prevalence,12.6,,,12.4,12.7,33461577,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Vision Disability,Age-adjusted Prevalence,4.9,,,4.7,5.1,12766560,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Vision Disability,Age-adjusted Prevalence,5,,,4.9,5.2,12822789,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Vision Disability,Age-adjusted Prevalence,5,,,4.9,5.2,13190605,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Vision Disability,Age-adjusted Prevalence,4.7,,,4.5,4.8,12121302,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Vision Disability,Age-adjusted Prevalence,4.5,,,4.4,4.6,11563837,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Self-care Disability,Age-adjusted Prevalence,3,,,2.9,3.2,8156953,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Self-care Disability,Age-adjusted Prevalence,3.8,,,3.7,3.9,9808114,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Self-care Disability,Age-adjusted Prevalence,3.5,,,3.4,3.7,9452530,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Self-care Disability,Age-adjusted Prevalence,3.8,,,3.7,4,10094468,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Self-care Disability,Age-adjusted Prevalence,3.5,,,3.4,3.6,9096938,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Independent Living Disability,Age-adjusted Prevalence,6.4,,,6.2,6.5,16372210,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Independent Living Disability,Age-adjusted Prevalence,7,,,6.9,7.2,17594213,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Independent Living Disability,Age-adjusted Prevalence,6.8,,,6.6,6.9,17507317,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Independent Living Disability,Age-adjusted Prevalence,7,,,6.8,7.1,17733128,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Independent Living Disability,Age-adjusted Prevalence,6.5,,,6.4,6.7,16591670,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,No Disability,Age-adjusted Prevalence,75.2,,,74.8,75.5,181223676,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,No Disability,Age-adjusted Prevalence,73.3,,,73,73.5,171779296,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,No Disability,Age-adjusted Prevalence,74,,,73.7,74.3,179003797,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,No Disability,Age-adjusted Prevalence,74.4,,,74.1,74.7,177971426,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,No Disability,Age-adjusted Prevalence,75.4,,,75.1,75.6,179651923,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,18-44,Prevalence,18.4,,,18,18.9,20649690,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,18-44,Prevalence,19.5,,,19.1,19.9,21354776,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,18-44,Prevalence,18.5,,,18.1,18.9,20871559,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,18-44,Prevalence,18.2,,,17.7,18.6,20298441,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,18-44,Prevalence,16.7,,,16.3,17,18660940,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,18-44,Prevalence,11.8,,,11.5,12.2,13377877,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,18-44,Prevalence,12.6,,,12.3,12.9,13882121,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,18-44,Prevalence,11.8,,,11.4,12.1,13358820,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,18-44,Prevalence,11.4,,,11.1,11.8,12845878,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,18-44,Prevalence,10.5,,,10.2,10.8,11842935,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,18-44,Prevalence,2.3,,,2.1,2.5,2617018,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,18-44,Prevalence,2.4,,,2.3,2.6,2719155,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,18-44,Prevalence,2.3,,,2.1,2.4,2618062,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,18-44,Prevalence,2.3,,,2.1,2.4,2594333,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,18-44,Prevalence,2,,,1.8,2.1,2234442,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,18-44,Prevalence,4.1,,,3.9,4.4,4661143,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,18-44,Prevalence,4.8,,,4.6,5,5253226,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,18-44,Prevalence,4.6,,,4.4,4.8,5211840,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,18-44,Prevalence,5.1,,,4.8,5.3,5712945,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,18-44,Prevalence,4.8,,,4.6,5,5434622,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,18-44,Prevalence,3.4,,,3.2,3.6,3885714,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,18-44,Prevalence,3.4,,,3.3,3.7,3822885,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,18-44,Prevalence,3.3,,,3.1,3.5,3775742,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,18-44,Prevalence,3,,,2.9,3.2,3433709,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,18-44,Prevalence,2.8,,,2.6,2.9,3124180,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,18-44,Prevalence,1.5,,,1.3,1.6,1650674,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,18-44,Prevalence,1.8,,,1.7,2,2007558,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,18-44,Prevalence,1.8,,,1.7,1.9,2039859,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,18-44,Prevalence,1.9,,,1.8,2.1,2148166,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,18-44,Prevalence,1.7,,,1.5,1.8,1865300,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,18-44,Prevalence,4.8,,,4.6,5.1,5446142,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,18-44,Prevalence,5.3,,,5.1,5.5,5825663,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,18-44,Prevalence,5.1,,,4.9,5.3,5755993,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,18-44,Prevalence,5.1,,,4.9,5.4,5742205,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,18-44,Prevalence,4.5,,,4.3,4.7,5042424,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,18-44,Prevalence,81.6,,,81.1,82,91486642,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,18-44,Prevalence,80.5,,,80.1,80.9,88093547,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,18-44,Prevalence,81.5,,,81.1,81.9,92007484,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,18-44,Prevalence,81.8,,,81.4,82.3,91506261,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,18-44,Prevalence,83.3,,,83,83.7,93289977,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,45-64,Prevalence,26.7,,,26.1,27.3,21207902,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,45-64,Prevalence,30,,,29.5,30.5,23364352,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,45-64,Prevalence,29.2,,,28.8,29.7,23864768,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,45-64,Prevalence,29.3,,,28.8,29.8,23815177,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,45-64,Prevalence,28.8,,,28.4,29.3,23526756,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,45-64,Prevalence,10.2,,,9.8,10.6,8159060,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,45-64,Prevalence,12.3,,,11.9,12.6,9627437,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,45-64,Prevalence,11.9,,,11.6,12.2,9762989,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,45-64,Prevalence,12.3,,,12,12.7,10062658,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,45-64,Prevalence,11.9,,,11.6,12.2,9710859,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,45-64,Prevalence,6.1,,,5.8,6.4,4878876,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,45-64,Prevalence,6.3,,,6.1,6.6,4988652,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,45-64,Prevalence,6.6,,,6.3,6.8,5431527,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,45-64,Prevalence,6.1,,,5.9,6.3,5005659,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,45-64,Prevalence,5.8,,,5.6,6.1,4805028,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,45-64,Prevalence,15.3,,,14.9,15.8,12222853,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,45-64,Prevalence,18.5,,,18.1,18.9,14491094,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,45-64,Prevalence,17.8,,,17.4,18.2,14631819,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,45-64,Prevalence,18.6,,,18.2,19,15190980,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,45-64,Prevalence,18.1,,,17.8,18.5,14846118,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,45-64,Prevalence,6.1,,,5.8,6.5,4907722,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,45-64,Prevalence,6.5,,,6.2,6.7,5110582,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,45-64,Prevalence,6.4,,,6.1,6.7,5254487,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,45-64,Prevalence,6.3,,,6,6.6,5169369,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,45-64,Prevalence,6.2,,,6,6.5,5116193,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,45-64,Prevalence,4.6,,,4.4,4.9,3695954,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,45-64,Prevalence,5.9,,,5.7,6.1,4624598,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,45-64,Prevalence,5.5,,,5.2,5.7,4491791,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,45-64,Prevalence,6,,,5.8,6.3,4927574,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,45-64,Prevalence,5.5,,,5.3,5.8,4525202,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,45-64,Prevalence,7.2,,,6.8,7.5,5707023,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,45-64,Prevalence,8.5,,,8.2,8.8,6628057,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,45-64,Prevalence,7.9,,,7.7,8.2,6496069,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,45-64,Prevalence,8.7,,,8.4,9,7078506,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Independent Living Disability,,,45-64,Prevalence,8.2,,,8,8.5,6719470,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,45-64,Prevalence,73.3,,,72.7,73.9,58101924,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,45-64,Prevalence,70,,,69.5,70.5,54541051,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,45-64,Prevalence,70.8,,,70.3,71.2,57728511,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,45-64,Prevalence,70.7,,,70.2,71.2,57512847,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,No Disability,,,45-64,Prevalence,71.2,,,70.7,71.6,58041858,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,65+,Prevalence,41.6,,,40.9,42.2,22489622,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,65+,Prevalence,43.6,,,43.1,44.1,22524066,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,65+,Prevalence,43.8,,,43.2,44.4,22792062,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,65+,Prevalence,42.3,,,41.7,42.9,21260021,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Status,Any Disability,,,65+,Prevalence,41.9,,,41.3,42.4,20400439,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,65+,Prevalence,9.3,,,8.8,9.7,5036828,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,65+,Prevalence,9.9,,,9.6,10.2,5131558,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,65+,Prevalence,10.2,,,9.8,10.7,5344016,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,65+,Prevalence,9.7,,,9.4,10.1,4917981,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Cognitive Disability,,,65+,Prevalence,9.5,,,9.2,9.9,4662089,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,65+,Prevalence,15.9,,,15.4,16.4,8700030,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,65+,Prevalence,16.2,,,15.9,16.6,8495639,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,65+,Prevalence,16.2,,,15.7,16.6,8516551,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,65+,Prevalence,15.1,,,14.7,15.6,7686872,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Hearing Disability,,,65+,Prevalence,14.7,,,14.3,15.1,7238885,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,65+,Prevalence,25.5,,,24.9,26.1,13857888,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,65+,Prevalence,27.7,,,27.3,28.2,14418617,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,65+,Prevalence,27.3,,,26.7,27.9,14286439,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,65+,Prevalence,27.2,,,26.7,27.7,13735405,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Mobility Disability,,,65+,Prevalence,26.9,,,26.4,27.4,13180837,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,65+,Prevalence,7.3,,,6.9,7.6,3973124,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,65+,Prevalence,7.4,,,7.1,7.7,3889322,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,65+,Prevalence,7.9,,,7.5,8.3,4160375,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,65+,Prevalence,6.9,,,6.6,7.3,3518224,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Vision Disability,,,65+,Prevalence,6.8,,,6.5,7,3323464,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,65+,Prevalence,5.2,,,4.9,5.5,2810324,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,65+,Prevalence,6.1,,,5.8,6.4,3175958,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,65+,Prevalence,5.6,,,5.2,5.9,2920880,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older by age group,Disability Estimates,Disability Type,Self-care Disability,,,65+,Prevalence,6,,,5.7,6.3,3018728,,,
